nextday_High,tw_Open,tw_High,tw_Low,tw_Close,tw_Adj_Close,RDSCUNT_RATE,RATE_YEAR,RATE,BOND_RATE,PRP_M,PRP_M_P,M1A,M1B,M2,PUR_A,ASSETS,LIABILITIES
7773.180176,7880.02002,7880.02002,7751.319824,7756.25,7756.221191,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7819.790039,7702.720215,7773.180176,7698.47998,7759.970215,7759.941406,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7762.149902,7819.790039,7819.790039,7694.720215,7698.240234,7698.211426,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7876.910156,7737.470215,7762.149902,7690.109863,7762.149902,7762.121094,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7454.97998,7833.470215,7876.910156,7794.779785,7797.189941,7797.161133,5.25,6.03,7.5,6.28,15983,5121,16035,36068,147469,29161,34139,4978
7679.529785,7446.490234,7454.97998,7354.919922,7400.640137,7400.612305,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
7904.160156,7455.509766,7679.529785,7455.509766,7679.529785,7679.500977,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8060.279785,7651.680176,7904.160156,7651.680176,7902.509766,7902.479492,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8280.650391,8003.870117,8060.279785,7919.399902,8050.129883,8050.099121,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8402.169922,8175.189941,8280.650391,8121.899902,8166.870117,8166.839355,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8512.610352,8265.360352,8402.169922,8265.360352,8402.169922,8402.137695,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8532.25,8512.610352,8512.610352,8325.230469,8333.490234,8333.458008,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8451.929688,8368.160156,8532.25,8368.160156,8503.549805,8503.517578,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8398.269531,8438.379883,8451.929688,8250.919922,8270.580078,8270.547852,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8420.910156,8135.169922,8398.269531,8135.169922,8398.269531,8398.237305,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8341.349609,8420.910156,8420.910156,8241.490234,8241.490234,8241.458008,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8347.200195,8341.349609,8341.349609,8172.830078,8193.650391,8193.618164,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8380.719727,8297.69043,8347.200195,8241.69043,8347.200195,8347.167969,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8305.830078,8361.900391,8380.719727,8253.879883,8255.049805,8255.017578,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8226.139648,8205.830078,8305.830078,8091.169922,8092.580078,8092.549316,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8192.700195,8223.69043,8226.139648,8096.990234,8104.029785,8103.999023,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8080.810059,8192.700195,8192.700195,8032.529785,8038.310059,8038.279297,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8205.700195,7925.100098,8080.810059,7920.100098,8075.049805,8075.019043,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8113.22998,8135.450195,8205.700195,8113.22998,8132.5,8132.469238,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8167.339844,8111.77002,8113.22998,8069.169922,8076.649902,8076.619141,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8243.599609,8167.339844,8167.339844,8116.149902,8145.77002,8145.739258,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
8154.919922,8226.330078,8243.599609,8176.700195,8187.27002,8187.239258,5.25,6.03,7.5,6.5,15979,5128,16437,36598,149568,29820,34716,4896
7999.620117,8154.919922,8154.919922,8025.740234,8028.629883,8028.599121,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
8017.52002,7994.680176,7999.620117,7938.669922,7966.180176,7966.149902,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
7871.109863,7968.540039,8017.52002,7821.75,7835.560059,7835.530762,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
7813.859863,7860.029785,7871.109863,7775.259766,7778.160156,7778.131348,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
7592.669922,7779.109863,7813.859863,7647.240234,7737.200195,7737.171387,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
7517.120117,7578.140137,7592.669922,7373.140137,7375.140137,7375.112305,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
7798.25,7496.379883,7517.120117,7399.47998,7513.240234,7513.211914,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
7856.149902,7617.529785,7798.25,7617.529785,7798.25,7798.221191,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
7879.209961,7856.149902,7856.149902,7765.990234,7770.77002,7770.741211,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
7935.870117,7756.419922,7879.209961,7756.419922,7799.100098,7799.071289,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
7908.200195,7928.5,7935.870117,7842.060059,7847.620117,7847.59082,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
8098.649902,7880.629883,7908.200195,7840.549805,7907.680176,7907.649902,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
8114.220215,8020.490234,8098.649902,8009.22998,8098.649902,8098.619141,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
8405.110352,8066.140137,8114.220215,8066.140137,8085.470215,8085.439453,5.25,6.03,7.5,6.57,17417,6207,17652,38167,153128,31208,36319,5111
8586.919922,8260.280273,8405.110352,8245.419922,8405.110352,8405.078125,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
8575.299805,8583.379883,8586.919922,8478.30957,8514.179688,8514.147461,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
8626.799805,8539.80957,8575.299805,8453.419922,8470.610352,8470.578125,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
8775.669922,8492.919922,8626.799805,8484.980469,8621.969727,8621.9375,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
8796.44043,8712.25,8775.669922,8469.360352,8544.139648,8544.107422,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
8673.349609,8778.980469,8796.44043,8634.610352,8634.610352,8634.578125,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
8753.540039,8667.410156,8673.349609,8537.400391,8567.660156,8567.62793,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
8831.120117,8693.990234,8753.540039,8682.160156,8713.419922,8713.387695,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
8920.240234,8805.160156,8831.120117,8763.070313,8800.019531,8799.987305,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
8729.700195,8920.240234,8920.240234,8701.580078,8706.459961,8706.427734,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
8796.219727,8673.820313,8729.700195,8628.360352,8708.290039,8708.257813,5.25,6.52,7.955,6.7,17360,6288,17034,38484,154866,29602,34303,4701
