grm_Adj Close,cnd_Open,cnd_Adj_Close,mxc_Open,mxc_Adj_Close,agt_Open,agt_Adj_Close,chl_Adj_Close,chl_Open,bx_Open
5312.28,7797.300,7822.300,5185.500,5164.700,703.9,710.66,996.58,991.62,11936
5262.57,7835.800,7816.400,5165.000,5151.600,710.66,703.67,990.73,996.79,11918
5144.42,7773.700,7703.200,5151.600,5086.200,703.64,701.21,983.19,992.41,11548
5002.71,7569.800,7564.800,5086.200,4909.800,701.21,676.66,972.16,983.74,11620
5110.88,7615.100,7567.700,4909.770,5035.180,677.25,683.64,980.94,972.26,11057
5083.8,7601.600,7609.500,5035.180,5028.650,684.24,692.44,986.56,981.04,11377
5241.23,7663.800,7665.000,5028.650,5098.530,692.68,698.9,995.34,987.68,11532
5337.75,7736.200,7737.300,5098.530,5041.380,700.13,701.91,998.38,996.91,11719
5226.2,7708.300,7720.100,5069.840,4984.655,701.67,705.8,995.34,998.48,11507
5264.62,7693.200,7678.700,5041.150,4927.930,705.86,701.59,995.57,995.44,11555
5164.89,7646.600,7612.500,4927.930,4927.010,701.47,691.42,991.96,996.23,11165
5270.61,7670.600,7699.200,4927.010,4937.650,691.57,693.74,986.45,994.99,11065
5348.75,7735.200,7720.700,4937.650,4843.540,694.35,680.3,972.05,987.79,11220
5307.82,7710.100,7717.700,4843.540,4812.140,680.54,683.49,965.07,972.15,10983
5371.99,7728.700,7707.500,4812.140,4756.600,683.61,671.03,947.85,965.28,10798
5374.11,7677.800,7677.900,4756.290,4739.180,671,664.36,943.46,948.06,10779
5414.31,7689.800,7684.000,4739.180,4786.180,664.46,669,934.57,943.56,10736
5343.66,7684.000,7684.000,4786.180,4646.510,668.38,637.02,925.46,935.01,10906
5441,7676.600,7662.400,4646.230,4624.450,638.05,635.27,922.65,925.67,10209
5514.51,7677.000,7695.400,4626.880,4607.340,636.3,642.45,932.77,923.08,10343
5522.35,7718.200,7718.200,4608.220,4660.440,642.66,643.06,936.485,928.145,10408
5530.19,7724.800,7725.200,4660.440,4648.430,642.82,626.39,940.2,933.21,10269
5592.46,7725.200,7768.200,4648.430,4612.290,634.61,611.18,937.84,940.41,10240
5639.89,7778.000,7626.000,4612.290,4453.580,626.4,595.97,922.08,937.93,10015
5466.88,7546.600,7542.900,4453.580,4480.360,594.43,603.07,914.32,922.18,9436
