ind_Adj_Close,astsp_Open,astsp_Adj_Close,ast_Open,ast_Adj_Close,usdow_Open,usdow_Adj_Close,usnsdq_Open,usnsdq_Adj_Close,usvix_Open
3807.21,2635.2,2635.2,2680.7,2692.9,8570.63,8567.14,1747.94,1725.16,20.2
3798.25,2655.4,2655.4,2692.9,2714.8,8567.64,8643.12,1741.58,1748.51,19.9
3752.09,2661.5,2661.5,2714.8,2719.5,8642.37,8675.75,1756.03,1756.85,19.41
3716.5,2670.9,2670.9,2719.5,2731.6,8673.76,8659.56,1763.71,1764.06,18.76
3750.865,2688.85,2688.85,2724.7,2749.35,8659.56,8602.52,1775.01,1771.66,17.69
3785.23,2706.8,2706.8,2729.9,2767.1,8603.51,8718.85,1779.41,1788.18,19.27
3791.17,2708.7,2708.7,2767.1,2769.6,8718.85,8749.99,1787.94,1779.3,18.42
3825.02,2709.9,2709.9,2769.6,2772.6,8746.5,8775.4,1772.74,1788.28,18.71
3820.87,2716.2,2716.2,2772.6,2775.2,8770.92,8803.05,1789.55,1799.98,17.9
3840.4,2724.6,2724.6,2775.95,2783.6,8803.8,8906.43,1803.28,1789.16,17.61
3963.81,2733,2733,2779.3,2792,8899.71,8816.25,1784.95,1792.51,19.65
3927.67,2722.5,2722.5,2792,2781.6,8817.5,8904.44,1796.84,1812.44,20.11
3949.57,2724.2,2724.2,2781.6,2781.1,8905.19,8872.8,1837.62,1824.51,20.59
3891.75,2703.4,2703.4,2781.1,2762.7,8868.57,8846.89,1822.24,1828.54,23.02
3908.6,2693.4,2693.4,2771.9,2751.85,8846.15,8796.08,1837.11,1823.62,22.44
3897.98,2683.4,2683.4,2762.7,2741,8795.08,8782.12,1823.79,1818.7,24.32
3892.75,2686,2686,2741,2744.2,8783.12,8799.81,1823.48,1835.68,24.23
3969.57,2694.1,2694.1,2744.2,2752.9,8801.56,8868.32,1838.15,1847.66,24.85
3992.72,2699.9,2699.9,2752.9,2757,8868.32,8986.64,1847.96,1852.96,23.07
4076.05,2717.7,2717.7,2757,2770.8,8986.64,8983.41,1857.35,1855.4,21.94
4194.27,2739.3,2739.3,2795.6,2794.8,9033.23,8956.5,1823.54,1798.71,23.31
4194.27,2761.1,2761.1,2794.8,2813.5,8956.5,8891.48,1801.11,1807.01,23.01
4118.29,2753.6,2753.6,2813.5,2805.8,8891.48,8994.86,1814.51,1820.24,21.39
4118.29,2753.6,2753.6,2813.5,2805.8,8944.295,9003.58,1819.29,1822.595,22.19
4085.93,2785.4,2785.4,2805.8,2840.9,8997.11,9012.3,1824.07,1824.95,22.99
4139.215,2785.4,2785.4,2805.8,2840.9,9014.3,9110.2,1825.4,1843.03,23.37
4192.5,2815.6,2815.6,2840.9,2870.5,9110.45,9162.27,1852.89,1863.26,21.46
4134.32,2826.3,2826.3,2870.5,2881.4,9162.27,9076.57,1857.27,1858.24,21.44
4186.76,2817.8,2817.8,2881.4,2867.5,9077.57,9167.5,1854.5,1866.6,22.32
4210.73,2822,2822,2867.5,2872.5,9166.75,9141.84,1869.01,1887.14,21.22
4280.96,2815.3,2815.3,2872.5,2866.4,9137.85,9184.94,1894.99,1903.87,20.51
4179.44,2805.8,2805.8,2866.4,2856.8,9184.93,9176.72,1907.46,1917.61,19.74
4092.23,2828.2,2828.2,2856.8,2877.8,9176.96,9143.33,1913.14,1881.39,20.4
