bx_Adj_Close,Isrl_Open,Isrl_Adj_Close,tw_VALUE,jp_VALUE ,chn_VALUE,chnhk_VALUE,bx_VALUE,cnd_VALUE,ind_VALUE
11677,307.38,307.38,32.98,132.37,8.31,7.7465,1.1438,1.4302,39.74
11507,316.25,317.99,33.01,132.98,8.31,7.7486,1.1441,1.435,39.75
11555,317.99,317,33.01,131.74,8.31,7.749,1.1447,1.439,39.8
11165,315.83,315.11,33.04,132.73,8.31,7.749,1.1448,1.4391,39.84
11063,315.11,315.87,33.17,133.09,8.31,7.7497,1.1448,1.44,39.8
11220,316.81,317.68,33.25,132.88,8.31,7.75,1.145,1.4367,39.805
10983,318.51,319.49,33.21,132.84,8.31,7.7499,1.1458,1.4335,39.79
10798,320.14,322.68,33.42,134,8.31,7.7485,1.1459,1.4323,39.85
10779,322.68,323.91,33.45,134.18,8.31,7.749,1.1475,1.4448,39.85
10734,323.91,323.55,33.25,134.23,8.31,7.7485,1.1468,1.448,40.65
10906,323.09,322.935,33.25,134.39,8.31,7.749,1.1468,1.4508,40.65
10205,322.27,322.32,33.79,135.95,8.31,7.7497,1.1474,1.4497,40.57
10343,321.99,319.19,33.83,136.34,8.31,7.7495,1.1479,1.4502,40.572
10408,319.19,321.07,33.69,135.99,8.31,7.749,1.149,1.4498,40.53
10269,322.93,327.44,33.6,135.65,8.31,7.7495,1.15,1.4475,40.546
10240,328.11,330.865,33.62,135.77,8.31,7.748,1.1515,1.4496,40.7
10015,333.29,334.29,33.755,136.575,8.31,7.7479,1.15225,1.45225,41
9436,334.29,336.05,33.89,137.38,8.31,7.7478,1.153,1.4549,41.3
9748,330.41,327.09,33.9,137.36,8.31,7.749,1.1513,1.4568,41.45
10152,327.09,326.82,33.88,138.91,8.31,7.748,1.1497,1.4556,42.35
9847,326.955,325.735,34,138.5,8.31,7.7495,1.1502,1.4571,41.75
9605,326.82,324.65,34.3,139.57,8.31,7.7493,1.1523,1.4568,41.85
10150,324.65,328.62,34.34,138.97,8.31,7.7496,1.1516,1.4543,41.87
9856,331.3,332.57,34.21,138.34,8.31,7.7493,1.1517,1.453,41.8
10191,331.55,331,34.3,138.4,8.31,7.7496,1.1514,1.4558,41.95
10370,334.015,334.215,34.35,139.66,8.31,7.7497,1.1525,1.4586,41.85
10540,336.48,337.43,34.74,140.58,8.31,7.749,1.1528,1.4592,41.86
10370,337.43,336.64,34.76,140.25,8.31,7.7495,1.1536,1.4602,42.45
9868,336.04,333.73,35,141.52,8.31,7.7493,1.155,1.4669,42.45
9726.5,331.57,330.35,34.9,143.25,8.31,7.7505,1.1536,1.4701,42.45
9585,327.315,323.64,34.95,144.36,8.31,7.7498,1.1551,1.4685,42.2
9074,323.06,316.93,34.91,146.42,8.31,7.7442,1.1544,1.474,42.4
9249,316.93,318.1,34.85,144.05,8.31,7.745,1.1545,1.4708,42.35
9897,320.24,320.38,34.85,137.68,8.31,7.7413,1.155,1.4635,42.25
9539,320.38,320.39,34.12,137.61,8.31,7.743,1.1556,1.469,42.3
9687,319.275,319.59,34.11,134.2,8.31,7.741,1.1555,1.4695,42.6
9623,318.17,318.79,34.4,137.9,8.31,7.7444,1.1552,1.4713,42.8
9937,317.76,316.82,34.45,139.13,8.31,7.7438,1.1547,1.4698,42.95
9856,317.69,321.46,34.4,140.75,8.31,7.7448,1.1557,1.47,42.85
9528,321.46,321.17,34.55,141.67,8.31,7.747,1.1557,1.4668,42.85
9464,320.925,320.53,34.7,142.75,8.31,7.75,1.1567,1.4693,42.9
9604,320.39,319.89,34.6,141.92,8.31,7.7483,1.1563,1.4721,42.59
9678,319.89,319.04,34.37,138.29,8.31,7.7483,1.1565,1.4717,42.5
9901,318.04,321.5,34.38,141.44,8.31,7.7495,1.1568,1.4686,42.75
10116,320.41,321.21,34.41,139.35,8.31,7.748,1.1568,1.4675,42.6
10018,322.78,320.92,34.51,140.18,8.31,7.747,1.1581,1.473,42.56
10205,318.9,316.41,34.38,138.78,8.31,7.7482,1.1585,1.4732,42.6
10336,313.32,312.37,34.4,139.6,8.31,7.7485,1.161,1.4745,42.75
10331.5,312.37,313.03,34.4,141.3,8.31,7.75,1.1617,1.4768,42.75
10327,311.215,312.605,34.41,141.05,8.31,7.7495,1.16,1.48,42.6
10420,310.06,312.18,34.5,140.98,8.31,7.7496,1.1628,1.4786,42.7
10642,312.18,312.58,34.4,139.84,8.31,7.7488,1.1628,1.479,42.65
10649,312.58,311.76,34.4,140.67,8.31,7.75,1.1613,1.485,42.75
