ko_VALUE,mlx_VALUE,mxc_VALUE,sd_VALUE,nafrc_VALUE,sgp_VALUE,sz_VALUE,aut_VALUE,eur_VALUE,nzn_VALUE
1409,3.8702,8.825,7.835,5.154,1.6755,1.482,0.626,1.20581218916746,0.5358
1400,3.95,8.908,7.825,5.205,1.697,1.4765,0.615,1.20702179724872,0.528
1406,3.93,8.88,7.797,5.136,1.68,1.48,0.6145,1.210920409699,0.5235
1392,3.925,8.795,7.77,5.109,1.675,1.4778,0.6115,1.2146779523431,0.5245
1394,3.975,8.78,7.7525,5.114,1.687,1.4675,0.611,1.21708784443562,0.5245
1396,3.995,8.769,7.8055,5.137,1.7025,1.477,0.6005,1.20981865245408,0.513
1400,4,8.835,7.825,5.1635,1.7125,1.4772,0.5995,1.20716726659633,0.509
1399,3.955,8.828,7.885,5.165,1.7138,1.4773,0.5955,1.19878223066484,0.508
1395,4.025,8.875,7.975,5.203,1.745,1.4885,0.587,1.18642822892678,0.496
1395,4.025,8.985,8,5.265,1.745,1.4905,0.5867,1.18292287632347,0.4973
1400,4.0454,9.07,8.001,5.33,1.7465,1.497,0.5925,1.18273474290484,0.5013
1437,4.09,9.04,8.1,5.392,1.7515,1.5095,0.5894,1.16898061834937,0.496
1435,4.0575,9.007,8.05,5.359,1.7365,1.4975,0.5925,1.17547790232916,0.4963
1423,3.935,8.89,7.9455,5.333,1.6705,1.492,0.6081,1.18979291567986,0.5173
1396,3.965,8.9091,7.934,5.4025,1.675,1.4965,0.6067,1.19120878033261,0.5175
1395,3.875,8.887,7.9215,5.4775,1.607,1.494,0.627,1.19288123456757,0.5298
1396,3.96,8.915,7.932,5.5175,1.652,1.497,0.611,1.19145455260806,0.5176
1386,3.955,8.91,7.948,5.484,1.652,1.5065,0.6078,1.18940066494485,0.5085
1382,3.95,8.94,7.8945,5.432,1.66,1.508,0.6074,1.19674360071215,0.5166
1375,4,8.955,7.873,5.5825,1.6685,1.5104,0.6054,1.19964717661069,0.5139
1388,4.08,9.047,7.998,5.917,1.6915,1.5255,0.603,1.18252473281027,0.506
1385,4.19,9.03,7.975,5.955,1.718,1.5275,0.6075,1.18564098304564,0.5063
1376,4.13,8.985,7.9755,5.9235,1.684,1.515,0.6208,1.18546455501451,0.52
1370,4.2176,8.982,8.101,6.325,1.705,1.5355,0.6115,1.16830687402035,0.5125
1358,4.15,8.951,8.096,6.365,1.702,1.53,0.6185,1.16920261675619,0.5195
1348,4.195,8.975,8.082,6.47,1.7145,1.5255,0.6165,1.17120968286935,0.516
1348,4.155,8.96,8.089,6.18,1.6925,1.5281,0.6195,1.17038049910438,0.5205
1334,4.19,8.92,8.068,6.15,1.7085,1.528,0.6165,1.17331087620742,0.5166
1310,4.2575,8.947,8.1075,6.285,1.718,1.542,0.6125,1.16793863921638,0.5128
1316,4.265,8.957,8.071,6.385,1.7285,1.5385,0.614,1.17298821177915,0.514
1314,4.215,8.8995,8.0375,6.1425,1.7185,1.5185,0.6165,1.17745627004511,0.5173
1291,4.13,8.857,8.057,6.01,1.6885,1.5205,0.6245,1.17486906184071,0.5255
1285,4.155,8.855,8.025,6.1325,1.697,1.5153,0.6234,1.17935334606681,0.5225
1286,4.1,8.8475,7.95,6.2075,1.688,1.507,0.629,1.18966617464112,0.5267
1286,4.1295,8.824,7.914,6.39,1.71,1.505,0.6267,1.194582104275,0.527
1290,4.1224,8.795,7.903,6.245,1.7,1.5045,0.6301,1.19599695981579,0.527
1293,4.145,8.818,7.9685,6.36,1.71,1.5123,0.6263,1.1870039714766,0.5251
1292,4.155,8.874,7.958,6.2575,1.7105,1.51,0.6211,1.18848413481391,0.5206
1277,4.1525,8.868,7.956,6.24,1.712,1.512,0.6168,1.18864647614,0.517
1247.5,4.13,8.878,7.885,6.185,1.711,1.4948,0.6196,1.19825383465222,0.5195
1212,4.145,8.892,7.886,6.26,1.721,1.4995,0.609,1.19817694249939,0.511
1259,4.12,8.892,7.878,6.25,1.7085,1.4925,0.6115,1.19945952731686,0.5138
1245,4.1278,8.921,7.911,6.19,1.717,1.487,0.6105,1.19497108561174,0.5135
1236,4.115,8.904,7.925,6.1,1.717,1.487,0.6145,1.19307953927462,0.5173
1232,4.145,8.92,7.9595,6.135,1.728,1.4915,0.607,1.18842762610025,0.5115
1250,4.16,8.962,7.993,6.17,1.733,1.502,0.6035,1.18399593517119,0.5095
1242,4.1505,8.965,7.988,6.18,1.728,1.497,0.605,1.18450875124201,0.5135
1270,4.15,9.007,7.941,6.155,1.725,1.4915,0.609,1.19097430948872,0.5165
1333,4.1725,9.029,7.976,6.22,1.743,1.4908,0.604,1.18617163934457,0.5135
1330,4.2025,9.025,8.03,6.285,1.7525,1.4982,0.5991,1.17875923830174,0.509
1345,4.25,9.1375,8.085,6.29,1.7585,1.4973,0.5985,1.1710367662989,0.5069
1340,4.2575,9.195,8.1295,6.36,1.7616,1.4895,0.5921,1.16492495219518,0.5013
1338,4.1952,9.185,8.087,6.3425,1.7525,1.4835,0.5945,1.17084019689102,0.5027
1340,4.185,9.2225,8.1162,6.3,1.7485,1.4885,0.5975,1.1668369061777,0.5038
1327,4.225,9.201,8.1725,6.325,1.757,1.509,0.594,1.15918839581678,0.5038
1335,4.2426,9.3015,8.1695,6.265,1.764,1.5029,0.5925,1.15965225108244,0.5038
1320,4.23,9.24,8.183,6.265,1.7655,1.5105,0.5938,1.15777668864306,0.5027
1305,4.2035,9.195,8.165,6.32,1.757,1.507,0.594,1.16013838697997,0.5038
1302,4.185,9.31,8.153,6.35,1.751,1.5045,0.5897,1.16170286934738,0.4985
1302,4.2353,9.7,8.1837,6.38,1.7675,1.503,0.583,1.15724944697984,0.4925
1306,4.202,9.665,8.225,6.275,1.767,1.4996,0.5792,1.15141107023059,0.491
1309,4.2205,9.59,8.2635,6.2725,1.7745,1.503,0.576,1.14609433284125,0.4912
1312,4.2055,9.86,8.3325,6.4,1.774,1.5053,0.5682,1.13652951736886,0.4885
1320,4.205,9.97,8.335,6.64,1.769,1.482,0.555,1.13613940588896,0.4838
1338,4.203,10.05,8.0976,6.48,1.775,1.453,0.565,1.16844765335164,0.4928
1336,4.195,9.985,8.0665,6.44,1.775,1.4417,0.572,1.1726828232853,0.495
1356,3.895,9.99,7.9675,6.28,1.719,1.4405,0.5805,1.186479732943,0.5073
1342,3.81,9.94,7.955,6.21,1.742,1.445,0.583,1.18833188460736,0.5035
1332,3.8005,10.12,7.895,6.22,1.756,1.4193,0.581,1.19650513428278,0.5005
1344,3.8,10.146,7.945,6.235,1.751,1.4252,0.5861,1.18964845544421,0.5062
1351,3.8,10.227,7.9475,6.24125,1.7385,1.41875,0.5879,1.18944980729682,0.50795
1358,3.8,10.308,7.95,6.2475,1.726,1.4123,0.5897,1.18925115914943,0.5097
1363,3.8,10.37,7.961,6.235,1.7425,1.4165,0.5875,1.18763949213835,0.5075
1370,3.8,10.63,7.928,6.265,1.73,1.3905,0.5966,1.19180490632159,0.5155
1370,3.8,10.53,7.827,6.275,1.717,1.386,0.601,1.20577057507072,0.521
