jp_Adj_Close,chnsse_Open,chnsse_Adj_Close,chnhs_Open,chnhs_Adj_Close,ko_Open,ko_Adj_Close,iny_Open,iny_Adj Close,ind_Open
15132.220,1402.952,1382.036,8293.820,8665.830,299.560,300.570,433.185,428.797,3197.9
15210.040,1383.290,1385.618,8635.990,8607.860,299.870,298.540,429.122,430.857,3214.42
15365.730,1387.024,1361.432,8663.390,8460.710,302.800,298.600,430.87,431.218,3171.25
15830.270,1360.615,1339.202,8547.420,8543.100,296.380,297.880,431.708,445.907,3305.18
16471.580,1314.100,1331.650,8844.100,8866.160,315.240,311.770,458.466,466.359,3219.98
16511.240,1335.836,1335.125,8766.380,8639.310,312.120,308.530,466.417,470.531,3173.35
16350.450,1339.261,1315.283,8629.110,8484.120,306.120,309.610,468.59,477.231,3111.02
16416.279,1313.649,1324.400,8503.080,8444.180,310.480,317.500,470.763,483.931,3186.85
16530.971,1326.817,1338.984,8483.760,8629.180,321.490,318.790,484.189,472.966,3225.71
16446.949,1341.354,1343.232,8639.100,8433.780,319.900,319.020,472.872,470.307,3277.93
16090.060,1344.749,1360.619,8379.770,8205.770,319.300,309.280,470.113,463.567,3375.55
16360.390,1362.688,1358.813,8109.680,8099.200,303.740,301.370,464.025,459.659,3426.83
16488.910,1360.614,1336.558,8180.130,8178.930,301.910,306.730,460.28,463.86,3335.13
16614.141,1332.412,1335.466,8343.910,8456.220,307.990,313.420,464.35,467.325,3404.87
16731.920,1335.299,1325.633,8419.280,8586.570,314.680,330.350,471.46,473.758,3383.73
16570.779,1325.880,1314.715,8679.820,8628.930,331.660,347.765,474.3,486.22,3505.52
16563.734,1311.059,1287.073,8641.130,8493.250,348.640,365.180,486.251,486.22,3471.45
16556.689,1285.785,1313.010,8512.230,8564.550,366.760,364.760,488.422,488.225,3385.25
16293.060,1312.226,1299.148,8527.490,8420.720,363.190,362.070,489.198,483.041,3358.08
16188.010,1299.217,1316.271,8380.490,8176.250,366.330,341.460,482.535,473.791,3329.78
16361.890,1317.848,1326.821,8037.540,8257.460,341.890,343.790,473.983,479.549,3200.66
15944.360,1328.336,1321.899,8184.080,7984.430,328.830,329.800,479.71,482.967,3172.67
16114.540,1321.634,1317.946,8031.700,7926.100,329.980,335.330,482.818,483.517,3096.06
16158.090,1317.929,1311.940,7873.970,7808.830,337.130,344.410,483.751,485.082,3169.88
16201.600,1312.855,1315.302,7822.040,7906.160,343.970,344.910,485.251,482.674,3247.23
16378.970,1316.307,1316.919,7980.350,7936.200,346.050,343.330,482.932,481.703,3231.23
16165.080,1315.135,1302.102,7767.420,7552.770,336.120,329.470,481.786,475.244,3159.02
16023.580,1299.729,1293.457,7499.150,7580.800,328.100,333.200,475.258,461.336,3107.04
15992.160,1293.704,1307.440,7391.550,7466.430,333.820,322.830,461.35,441.771,3069.92
15876.220,1310.296,1294.162,7476.520,7254.360,320.310,320.570,441.79,433.82,3131.54
15829.170,1292.082,1271.069,7199.590,7018.410,320.660,321.710,434.173,423.6,3094.17
15626.420,1262.008,1234.581,7065.220,7034.620,314.460,311.950,423.613,421.155,3056.22
15406.990,1230.379,1207.672,7025.080,6779.950,312.520,311.250,421.167,407.052,3002.82
15378.970,1204.362,1190.554,6761.830,6859.480,309.370,305.350,406.892,408.623,2934.74
15382.020,1193.369,1204.180,6855.310,6660.420,305.380,303.010,408.907,402.929,2944.64
15123.930,1202.378,1168.026,6649.450,7224.690,302.730,304.610,402.941,414.618,2993.68
14794.660,1152.673,1070.410,6649.450,7224.690,304.400,301.620,402.941,414.618,2983.4
15063.790,1054.182,1071.300,7246.750,7210.920,296.640,291.150,414.978,403.843,2914.92
15406.340,1072.740,1126.081,7300.430,7622.580,294.130,301.900,404.842,405.878,2885.76
15391.410,1128.753,1149.907,7590.570,7742.530,303.190,316.590,406.267,399.318,2911.85
15298.200,1149.622,1177.623,7647.720,7527.610,317.600,316.620,399.085,388.333,2954.31
14988.360,1178.551,1178.554,7443.430,7845.480,305.390,305.150,386.89,370.534,2928.08
15072.930,1174.408,1179.066,7783.940,7890.090,305.290,310.230,370.899,367.132,2958.78
14866.030,1174.847,1160.288,7837.090,7834.400,311.070,317.560,367.288,360.916,2982.715
14413.790,1152.358,1145.216,7840.950,7922.970,317.130,313.920,360.455,354.934,3006.65
13915.630,1139.815,1129.722,7865.470,7829.740,308.980,309.320,354.102,339.011,2937.12
14107.890,1117.970,1150.223,7558.050,7275.040,307.520,310.160,337.573,342.426,2919.36
14369.630,1142.500,1143.125,7038.450,7062.470,309.740,309.710,342.082,325.844,2862.24
14376.620,1137.305,1136.890,7308.010,7355.670,314.240,314.400,330.418,329.615,2900.15
14261.240,1136.442,1147.197,7335.860,7318.590,314.950,314.780,329.476,334.778,2885.3
14042.910,1148.954,1163.527,7168.840,7488.470,314.470,314.220,331.96,325.546,2930.63
14790.060,1168.365,1178.375,7649.690,8076.760,316.410,328.220,325.994,335.8,3016.51
14913.490,1181.067,1167.597,8127.480,8189.250,329.760,326.340,335.648,330.403,3054.31
14755.540,1165.656,1190.683,8215.660,7905.450,327.430,329.220,333.307,325.752,3125.19
14666.030,1194.875,1213.674,7828.860,7849.960,329.270,338.950,325.539,327.261,3090.24
13916.980,1214.832,1218.005,7672.580,7578.480,329.240,320.610,325.202,324.03,3069.38
14227.370,1219.318,1239.605,7607.730,7661.860,319.240,314.240,324.297,320.585,3134.68
