usvix_Adj_Close,ussp_Open,ussp_Adj_Close,eurestx_Open,eurestx_Adj_Close,blx_Open,blx_Adj_Close,fnc_Open,fnc_Adj_Close,grm_Open
21.18,1094.63,1111.75,3195.43,3195.43,3018.55,3079.34,3754.72,3880.92,5102.09
20.32,1121,1122.07,3309.96,3309.96,3110.41,3134.55,3948.47,3974.25,5264.25
21.46,1122.07,1115.5,3261.38,3261.38,3122.07,3097.62,3963.53,3944.91,5337.5
22.79,1115.5,1104.92,3262.55,3262.55,3067.48,3075.69,3929.45,3947.45,5230.94
23.39,1104.92,1095.14,3216.03,3216.03,3061.7,3029.47,3941.69,3906.36,5277.55
20.57,1095.14,1108.14,3255.78,3255.78,3027.35,3059.4,3954.265,3961.8,5184.82
21.05,1108.14,1106.64,3327.92,3327.92,3066.6,3097.9,3966.84,4017.24,5310.53
20.98,1106.64,1115.79,3290.86,3290.86,3072.17,3079.63,3970.63,3987.33,5296.12
20.44,1115.79,1118.86,3304.42,3304.42,3094.5,3111.48,4026.82,4019.76,5340.1
19.64,1118.86,1117.37,3305.41,3305.41,3117.82,3106.67,4028.86,4011.98,5400.29
20.44,1117.37,1108.73,3304.69,3304.69,3110.06,3116.93,4022.53,3990.23,5385.91
21.69,1108.73,1105.82,3253.33,3253.33,3098.79,3107.5,3969.31,3945.31,5384.03
20.39,1105.82,1109.52,3313.72,3313.72,3114.99,3136.1,3967.23,3980.84,5374.07
19.89,1109.52,1119.06,3352.25,3352.25,3154.92,3178.53,4006.52,4047.92,5447.24
19.38,1119.06,1114.64,3361.82,3361.82,3165.96,3186.21,4019.33,4048.85,5483.79
18.99,1114.64,1110.47,3371.39,3371.39,3177,3193.89,4032.14,4049.78,5520.34
20.53,1112.555,1102.245,3422.42,3422.42,3203.32,3219.81,4073.51,4108.71,5548.33
22.07,1110.47,1094.02,3424.55,3424.55,3267.83,3250.3,4115.32,4115.88,5614.43
22.59,1094.02,1092.23,3340.51,3340.51,3194.95,3203.73,4025.29,4017.37,5580.79
20.74,1092.23,1097.6,3338.8,3338.8,3229.88,3231.37,4056.28,4014.92,5532.3
21.32,1097.6,1090.82,3357.77,3357.77,3247.07,3250.72,4043.47,4041.16,5543.74
22.83,1090.82,1090.98,3363.03,3363.03,3250.44,3256.87,4052.705,4064.07,5543.145
22,1090.98,1093.22,3368.29,3368.29,3253.81,3263.02,4061.94,4086.98,5542.55
22.85,1093.22,1082.73,3399.22,3399.22,3283.62,3280.35,4111.67,4149.37,5575.97
21.22,1082.73,1094.83,3375.03,3375.03,3277.08,3271.24,4110.38,4119.03,5628.54
19.78,1095.1,1113.86,3421.55,3421.55,3283.71,3321.35,4150.04,4185.05,5648.73
20.58,1113.86,1115.72,3443.76,3443.76,3309.05,3334.01,4219.87,4204.58,5761.96
20.52,1115.72,1118.41,3415.77,3415.77,3332.53,3335.22,4193,4201.86,5789.13
21.48,1118.41,1112.28,3424.65,3424.65,3324.01,3333.49,4167.48,4208.6,5758.02
23.57,1112.28,1094.58,3393.76,3393.76,3332.96,3341.61,4182.11,4141.61,5749.555
22.78,1094.58,1098.84,3303.01,3303.01,3335.08,3305.88,4121.61,4050.76,5741.09
25.94,1098.84,1077.01,3253.91,3253.91,3298.7,3252.05,4013.43,4005.33,5635.39
24.8,1077.01,1087.59,3269.06,3269.06,3244.82,3294.07,3986.35,4013.28,5535.96
22.89,1087.59,1107.11,3330.55,3330.55,3325.98,3339.12,4043.05,4092.92,5662.38
22.4,1107.11,1106.37,3291.14,3291.14,3367.93,3329.74,4136.33,4052.27,5777.7
21.92,1106.37,1100.65,3258.16,3258.16,3342.51,3343.1,4074.61,4027.32,5718.98
21.94,1100.65,1103.21,3252.12,3252.12,3339.08,3328.63,3987.9,4018.64,5652.56
20.17,1103.21,1119.49,3309.48,3309.48,3330.44,3334.81,4040.23,4065.04,5664.55
20.02,1119.49,1132.88,3330.29,3330.29,3331.33,3347.22,4098.15,4126.33,5769.56
20.25,1132.88,1129.28,3391.88,3391.88,3378.78,3384.64,4179.22,4203.81,5822.71
19.36,1129.28,1133.2,3395.41,3395.41,3381.34,3387.04,4203.08,4215.7,5873.49
19.57,1133.2,1138.49,3431.06,3431.06,3395.43,3391.63,4241.05,4248.24,5888.62
19.71,1138.49,1133.84,3406.82,3406.82,3402.85,3440.54,4236.21,4203.45,5953.53
17.67,1148.56,1146.42,3471.65,3471.65,3555.44,3546.52,4307.54,4252.09,5939.62
18.15,1147.49,1151.875,3506.45,3506.45,3550.77,3549.19,4265.16,4304.38,5914.55
18.63,1146.42,1157.33,3518.79,3518.79,3539.95,3532.48,4306.23,4311.1,5985.39
18.62,1157.33,1154.66,3530.93,3530.93,3547.95,3541.46,4339.19,4333.09,5963.51
17.82,1154.66,1166.38,3553.07,3553.07,3552.71,3541.98,4340.12,4339.91,5973.29
18.16,1166.38,1158.56,3542.2,3542.2,3561.78,3546.04,4343.26,4319.18,6051.36
17.92,1158.57,1164.33,3532.65,3532.65,3522.31,3523.13,4268.8,4256.35,5962.06
18.26,1164.33,1165.19,3551.74,3551.74,3537.89,3556.09,4268.8,4256.35,6014.43
17.88,1165.19,1177.58,3576.68,3576.68,3574.11,3620.26,4361.13,4344.3,6026.08
17.89,1177.58,1174.81,3602.83,3602.83,3645.68,3614.43,4361.13,4344.3,6143.42
16.97,1174.81,1183.99,3613.4,3613.4,3627.94,3590.66,4373.2,4358.13,6107.73
16.23,1183.99,1186.75,3658.48,3658.48,3608.4,3600.25,4375.05,4388.48,6131.46
17.34,1186.75,1184.1,3670.82,3670.82,3633.39,3632.07,4371.05,4368.91,6155.21
20.1,1184.1,1165.07,3649.96,3649.96,3636.745,3623.445,4369.78,4322.08,6195.18
20.32,1165.07,1164.08,3582.12,3582.12,3640.1,3614.82,4290.56,4220.12,6151.73
23.01,1164.08,1139.75,3582.16,3582.16,3610.43,3562.45,4226.46,4235.89,6109.66
23.01,1139.75,1140.8,3570.67,3570.67,3545.03,3579.74,4201.43,4205.41,5990.48
23.13,1140.8,1147.27,3512.62,3512.62,3574.8,3556.58,4210.31,4139.53,6048.71
25.25,1147.27,1130.24,3499.87,3499.87,3587.74,3581.11,4176.47,4122.35,5948.87
24.79,1130.24,1125.21,3494.53,3494.53,3558.36,3542.33,4094.89,4139.19,5862.07
22.66,1125.21,1142.95,3529.5,3529.5,3550.06,3564.41,4148.29,4197.64,5850.38
24.8,1142.95,1120.67,3480.63,3480.63,3592.51,3499.85,4234.95,4177.31,5929.79
25.98,1120.67,1112.44,3422.75,3422.75,3481.22,3492.61,4091.62,4095.03,5805.07
31.06,1112.44,1072.12,3412.66,3412.66,3507.6,3524.24,4124.88,4047.88,5747.02
29.83,1072.12,1081.43,3344.15,3344.15,3453.39,3472.2,3999.26,3976.4,5620.7
28.2,1081.43,1089.63,3290.5,3290.5,3505.55,3453.82,3992.89,3968.59,5653.35
27.02,1089.63,1089.45,3348.61,3348.61,3458.97,3496.35,3988.01,4041.88,5563.92
28.75,1089.45,1083.14,3282.7,3282.7,3482.1,3469.19,4015.35,3939.45,5600.27
31.91,1083.14,1068.98,3187.44,3187.44,3425.07,3375.22,3885.68,3845.98,5471.11
28.55,1068.98,1084.22,3248.14,3248.14,3397.49,3409.74,3897.01,3945.7,5347.72
29.92,1084.22,1074.91,3240.83,3240.83,3389.51,3401.15,3876.79,3951.69,5355.69
34.34,1074.91,1062.75,3284.47,3284.47,3414,3416.49,3988.9,3994.91,5361.87
31.86,1062.75,1083.67,3277.21,3277.21,3359.2,3390.23,3918.65,3983.81,5404.64
28.4,1083.67,1101.2,3389.88,3389.88,3429.09,3441.57,4052.6,4123.25,5500.74
28.69,1101.2,1098.06,3400.07,3400.07,3483.38,3476.05,4147.39,4125.72,5637.82
30,1098.06,1091.6,3349.23,3349.23,3489.63,3466.56,4158.9,4087.49,5619.15
33.14,1091.6,1081.24,3209.05,3209.05,3435.75,3383.7,4037.18,3943.68,5459.12
31.8,1081.24,1088.14,3202.96,3202.96,3369.19,3362.36,3967.87,3937.43,5218.29
30.33,1088.14,1092.85,3282.91,3282.91,3381.73,3393.9,3994.28,4029.32,5293.7
31.14,1092.85,1084.19,3186.77,3186.77,3385.07,3350.83,3987.1,3913.17,5386.33
38.55,1084.19,1042.59,3063.83,3063.83,3325.69,3290.54,3854.26,3745.64,5203.42
39.6,1042.59,1027.14,3009.74,3009.74,3213.35,3226.54,3636.9,3708.97,4912.31
44.28,1027.14,957.28,2978.12,2978.12,3230.22,3172.49,3762.46,3765.23,4950.77
36.48,957.28,994.26,2950.01,2950.01,3110.49,3121.78,3563.51,3646.29,4723.14
36.76,994.26,990.48,3035.73,3035.73,3179.68,3254.68,3747.57,3729.67,4937.14
