PUR_A,ASSETS,LIABILITIES
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39328,43905,4577
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
39924,44741,4817
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
41464,45833,4369
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
43179,47936,4757
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44247,48834,4587
44424,48451,4027
44424,48451,4027
44424,48451,4027
44424,48451,4027
44424,48451,4027
44424,48451,4027
44424,48451,4027
44424,48451,4027
44424,48451,4027
44424,48451,4027
44424,48451,4027
44424,48451,4027
44424,48451,4027
44424,48451,4027
44424,48451,4027
44424,48451,4027
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
44838,49030,4192
45882,49996,4114
